"hash","ubid","grid","lat","lon","area","height","height_source","height_predict","fp","fp_source","state","county"
"ODU0NFZRUDMrOjY1MTA3MjE1Mg","8544VQP3+83-2-1-2-1","8544VQP3+","32.885844","-117.247316","707.521638677765","7.23","model","7.23","POLYGON((-117.247436 32.885538,-117.247326 32.885538,-117.247326 32.88584,-117.247235 32.88584,-117.247235 32.885912,-117.247168 32.885912,-117.247168 32.886029,-117.247307 32.886029,-117.247307 32.885977,-117.247361 32.885977,-117.247361 32.885919,-117.247436 32.885919,-117.247436 32.885538))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUDMrOjIwNTE3OTYwNDY","8544VQP3+29-1-3-1-2","8544VQP3+","32.885066","-117.246517","1074.1642169384747","9.31","model","9.31","POLYGON((-117.246397 32.885095,-117.246395 32.885226,-117.246502 32.885227,-117.246504 32.885128,-117.246592 32.885129,-117.246592 32.885165,-117.246696 32.885166,-117.246699 32.885031,-117.246774 32.885032,-117.246775 32.884974,-117.24663 32.884972,-117.246631 32.88494,-117.246427 32.884938,-117.246426 32.884958,-117.246178 32.884955,-117.246176 32.885092,-117.246397 32.885095))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUDMrOi0xMDk4ODk5MTAz","8544VQP3+GP-1-1-0-1","8544VQP3+","32.886371","-117.245676","189.7257736497301","5.73","model","5.73","POLYGON((-117.245701 32.88639,-117.245702 32.886361,-117.24575 32.886362,-117.245747 32.886443,-117.245782 32.886444,-117.245787 32.886311,-117.245581 32.886306,-117.245579 32.886342,-117.245555 32.886341,-117.245553 32.886386,-117.245701 32.88639))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUDMrOjE5NTk0ODAyOTQ","8544VQP3+WG-2-5-1-5","8544VQP3+","32.887346","-117.24624","3364.3464960379492","9.31","model","9.31","POLYGON((-117.2467523 32.8872962,-117.2467348 32.8873131,-117.2465722 32.8873135,-117.2465735 32.887282,-117.2466231 32.887282,-117.2466231 32.8872065,-117.2465963 32.8872257,-117.2465534 32.8872246,-117.2465534 32.887202,-117.2465239 32.8872268,-117.246489 32.8872268,-117.246489 32.887282,-117.24654 32.8872831,-117.24654 32.8873113,-117.2463737 32.8873113,-117.246375 32.8872797,-117.2464206 32.8872797,-117.2464206 32.8872043,-117.2463911 32.8872257,-117.2463536 32.8872257,-117.2463536 32.8872009,-117.2463227 32.8872257,-117.2462879 32.8872257,-117.2462879 32.8872809,-117.2463429 32.887282,-117.2463429 32.8873124,-117.2461752 32.8873124,-117.2461752 32.8872809,-117.2462248 32.8872809,-117.2462235 32.8872054,-117.2461967 32.8872246,-117.2461578 32.8872257,-117.2461578 32.8871998,-117.2461269 32.8872234,-117.2460894 32.8872234,-117.2460894 32.8872809,-117.2461403 32.8872809,-117.2461403 32.8873135,-117.2459781 32.8873124,-117.2459781 32.8872797,-117.2460237 32.8872797,-117.2460237 32.8872065,-117.2460009 32.8872257,-117.2459513 32.8872257,-117.2459499 32.8871998,-117.2459285 32.8872234,-117.2458922 32.8872246,-117.2458922 32.8872797,-117.2459378 32.8872797,-117.2459378 32.8873124,-117.245789 32.8873124,-117.245789 32.8872809,-117.2458252 32.8872809,-117.2458252 32.8871975,-117.2457876 32.8872234,-117.2457501 32.8872234,-117.2457487 32.8873101,-117.2455637 32.8873124,-117.2455623 32.8875343,-117.2457166 32.8875331,-117.2457152 32.8875838,-117.2457876 32.8875838,-117.2457876 32.8875354,-117.2459124 32.8875354,-117.2459137 32.8875838,-117.2459928 32.8875838,-117.2459915 32.8875354,-117.2461095 32.8875365,-117.2461095 32.8875849,-117.24619 32.8875861,-117.2461886 32.8875343,-117.246312 32.8875354,-117.246312 32.8875872,-117.2463858 32.8875861,-117.2463858 32.8875343,-117.2465078 32.8875343,-117.2465092 32.8875861,-117.2465856 32.8875849,-117.2465856 32.8875275,-117.2467278 32.8875275,-117.2467519 32.8875444,-117.2467513 32.8874092,-117.2467371 32.8874205,-117.2466996 32.8874205,-117.2467009 32.8873788,-117.2467385 32.8873788,-117.2467523 32.8873637,-117.2467523 32.8872962))","osm","California","06073"
"ODU0NFZRUDMrOi02MjI3MzAxNDg","8544VQP3+8X-1-1-1-2","8544VQP3+","32.885802","-117.245112","643.3267675920123","7.23","model","7.23","POLYGON((-117.2452523 32.8859358,-117.2452514 32.8856688,-117.2449815 32.8856694,-117.2449817 32.8857323,-117.2450319 32.8857322,-117.2450326 32.8859363,-117.2452523 32.8859358))","osm","California","06073"
"ODU0NFZRUDMrOjcyNzc1ODQwNw","8544VQP3+PG-1-5-2-5","8544VQP3+","32.886822","-117.246244","3382.6680138492047","9.31","model","9.31","POLYGON((-117.2467626 32.8867606,-117.2467345 32.8867752,-117.246705 32.8867763,-117.2467076 32.8867347,-117.2467358 32.8867335,-117.2467586 32.88672,-117.2467586 32.8866142,-117.2467425 32.8866277,-117.2465923 32.8866243,-117.2465936 32.8865736,-117.2465239 32.8865736,-117.2465252 32.8866243,-117.2463938 32.8866243,-117.2463938 32.8865702,-117.2463227 32.8865702,-117.2463214 32.8866232,-117.246198 32.886622,-117.246198 32.8865691,-117.2461243 32.8865702,-117.2461243 32.886622,-117.2459968 32.8866232,-117.2459968 32.886568,-117.2459258 32.886568,-117.2459258 32.8866209,-117.2457936 32.8866219,-117.2457936 32.8865713,-117.2457259 32.8865714,-117.2457259 32.8866198,-117.2455709 32.8866186,-117.245567 32.8868475,-117.2457595 32.886845,-117.2457595 32.8869588,-117.245793 32.8869588,-117.2458265 32.8869824,-117.2458265 32.8869002,-117.2457943 32.8869002,-117.2457943 32.8868405,-117.2459419 32.8868405,-117.2459432 32.8868991,-117.2458963 32.8868991,-117.2458963 32.8869565,-117.2459231 32.8869565,-117.245962 32.8869847,-117.2459606 32.8869554,-117.2459982 32.8869554,-117.2460237 32.8869768,-117.2460237 32.8869013,-117.2459794 32.8869002,-117.2459781 32.8868405,-117.2461417 32.8868405,-117.246143 32.8868991,-117.2460947 32.8868991,-117.2460947 32.8869588,-117.2461269 32.8869599,-117.2461605 32.8869869,-117.2461605 32.8869576,-117.246198 32.8869576,-117.2462262 32.8869757,-117.2462248 32.8869025,-117.2461779 32.8869025,-117.2461779 32.8868417,-117.2463375 32.8868417,-117.2463388 32.8869025,-117.2462906 32.8869013,-117.2462906 32.8869588,-117.2463214 32.8869588,-117.2463563 32.8869881,-117.2463563 32.8869599,-117.2463938 32.8869599,-117.246422 32.886979,-117.246422 32.8869036,-117.2463791 32.8869036,-117.2463791 32.8868417,-117.2465413 32.8868417,-117.2465427 32.8869013,-117.2464917 32.8869013,-117.2464904 32.8869588,-117.2465293 32.8869588,-117.2465561 32.8869847,-117.2465574 32.8869599,-117.246599 32.8869599,-117.2466231 32.8869779,-117.2466231 32.8869025,-117.2465775 32.8869025,-117.2465762 32.8868383,-117.2467398 32.8868394,-117.2467626 32.8868563,-117.2467626 32.8867606))","osm","California","06073"
"ODU0NFZRUDQrOi04OTgxMzgxNDE","8544VQP4+G7-0-0-1-1","8544VQP4+","32.886271","-117.244373","131.86743734120574","5.17","model","5.17","POLYGON((-117.244452 32.886245,-117.244254 32.886245,-117.244254 32.886309,-117.244452 32.886309,-117.244452 32.886245))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUDQrOjEwNDE1MTM0NQ","8544VQP4+MH-1-0-0-0","8544VQP4+","32.886704","-117.243544","112.688272021464","5.16","model","5.16","POLYGON((-117.243508 32.886752,-117.243599 32.886752,-117.243599 32.886633,-117.243508 32.886633,-117.243508 32.886752))","msfp-usbuildings-v1-1","California","06073"
"ODU0NFZRUDQrOi0yOTk0MjAzNzk","8544VQP4+FV-1-2-2-4","8544VQP4+","32.886145","-117.242873","1881.7294190569621","9.31","model","9.31","POLYGON((-117.2432909 32.886253,-117.2430888 32.8861104,-117.2430112 32.886062,-117.2429062 32.886022,-117.2427761 32.885988,-117.2426887 32.8859713,-117.2425083 32.8859558,-117.2425045 32.8860042,-117.2425167 32.886279,-117.242517 32.8862864,-117.242765 32.8862844,-117.2430907 32.8862818,-117.2432711 32.8862812,-117.2432909 32.886253))","osm","California","06073"
"ODU0NFZRUDQrOi00MjU1ODY1Nzc","8544VQP4+XW-2-1-3-2","8544VQP4+","32.887435","-117.242726","1235.1719010572872","9.31","model","9.31","POLYGON((-117.2428894 32.8872453,-117.2428332 32.8872332,-117.2428393 32.8872124,-117.2426503 32.8871241,-117.2425336 32.8875012,-117.2426312 32.8875231,-117.2425815 32.8876802,-117.242688 32.8876797,-117.2426909 32.8876639,-117.2427537 32.8876764,-117.2428894 32.8872453))","osm","California","06073"
